year,month,ppt,tmean,tmax,tmin,tdmean,vpdmax,vpdmin,Q,PET
1983,11,112.6947994,6.396350288,11.88899999,0.904900007,-4.346500024,8.698699927,1.654800004,34.16666667,40.63869198
1983,12,126.4556999,5.009850228,10.17445009,-0.153950005,-4.879250017,7.021700025,1.602400005,165.7741935,32.21098091
1984,1,3.745499963,4.80510025,10.60780005,-0.996749991,-8.804949975,8.986350012,2.172949976,40.38709677,42.63735409
1984,2,4.423899975,4.886750221,11.38130007,-1.606950005,-12.04384999,10.70799999,2.29379999,21.72413793,54.06779418
1984,3,8.922499943,7.490700316,14.99575005,-0.013649988,-7.036249971,12.6825501,1.823199987,17.77419355,94.71308738
1984,4,15.70395003,8.156750345,15.72499995,0.589450003,-6.335599935,13.87065001,1.864900011,16.46666667,113.69688
1984,5,0,15.61840072,24.59404993,6.644200063,-2.257899972,25.50594997,3.957249999,8.15483871,193.4750207
1984,6,0.796799999,16.28935075,24.71050005,7.869749999,-0.513449994,24.55900002,3.728849995,3.383333333,188.3160958
1984,7,110.3942989,20.18040113,27.3958499,12.96634998,7.61370008,24.22694988,3.334499991,3.312903226,175.3175901
1984,8,30.74769967,20.1225008,27.39610004,12.85024996,6.18744998,25.71199999,4.87895,4.1,170.7085937
1984,9,14.71045007,18.77045088,26.01730013,11.52495003,4.6671,27.35870018,4.701499963,3.313333333,136.9056415
1984,10,9.474300092,9.725150585,16.64944997,2.802150008,-4.600599985,12.5236001,2.158899969,5.148387097,80.61954813
1984,11,62.31545,4.969650233,10.15654995,-0.216299988,-7.732800102,8.763199973,2.300250018,8.723333333,38.18583495
1984,12,192.9383495,1.457800064,6.41224997,-3.496449992,-7.498299956,5.534500003,1.042749992,56.43225806,24.06448664
1985,1,42.88710041,1.998900114,6.961300063,-2.962999991,-8.998500013,6.466799974,1.484550005,35.16129032,31.74078759
1985,2,39.03580008,3.387150139,9.798350048,-3.023100019,-9.074299932,9.278149986,1.678000003,42.89285714,48.60011992
1985,3,69.79924974,4.189200199,10.54504995,-2.165849977,-6.216150045,8.321550012,1.143599996,54.64516129,68.86576749
1985,4,6.935799944,10.82920046,18.89565001,2.763950007,-4.151800001,16.86980009,2.330649984,48.73333333,132.777165
1985,5,0.652899993,13.07875051,21.82895021,4.329749972,-4.407099969,21.10670013,3.037949979,11.67419355,174.9351758
1985,6,3.967800004,18.2009006,27.19385014,9.209300065,-1.338250011,31.24975004,5.676749992,4.07,208.9865543
1985,7,30.96394968,21.10435104,29.06745024,13.14254994,2.852200027,32.56605024,6.756750059,1.046774194,204.9570018
1985,8,0,19.74670105,28.57560005,10.91919999,-0.10345,33.22955027,5.876399994,0.356129032,199.7542873
1985,9,32.23310001,14.01270065,21.38614998,6.640300012,-1.359799987,20.30965023,2.92725004,1.375666667,118.9351557
1985,10,21.84865003,11.44705057,18.79525023,4.099999994,-2.696299997,16.57939997,2.393700004,2.974193548,89.09847149
1985,11,158.6344997,5.111500239,10.34359994,-0.119650014,-5.279499978,8.094799948,1.568550003,39.46,35.05726415
1985,12,31.98200016,4.633400226,10.75939999,-1.491600023,-9.535900068,9.556750035,2.261749995,20.90322581,39.80701046
1986,1,56.85064979,7.656950378,14.66064992,0.65435001,-6.034699988,12.06989999,2.067700011,36.2516129,53.66239
1986,2,163.1346497,5.039800215,10.36199999,-0.281450015,-3.441699982,7.399549961,1.116149995,274.4285714,40.05759968
1986,3,149.1905991,7.225650406,13.85765004,0.594849994,-3.268950009,11.15575004,1.575999999,117.1612903,76.58173814
1986,4,23.34389987,8.755050397,15.92920008,1.582199997,-4.688899988,14.34629989,2.620350009,51.6,111.1387954
1986,5,0,13.00530071,21.33420019,4.677350026,-3.841949973,21.71359997,4.631500006,15.48064516,168.1441682
1986,6,0,17.89290085,27.3199501,8.467199993,-1.272749975,30.59460001,5.275800014,4.086666667,215.1590988
1986,7,5.195800042,18.76745071,26.10665007,11.42955008,2.813950036,26.29694986,5.838600016,1.263225806,183.5668597
1986,8,16.68750023,21.53380108,29.37949963,13.68969998,4.646400023,31.75240021,7.405800033,0.992903226,189.58217
1986,9,104.4299507,12.97065077,19.73310013,6.209449983,-2.057300013,17.84305019,3.885500014,3.05,101.8512957
1986,10,12.68710005,10.13920045,16.90844989,3.371649994,-2.77875004,13.86540012,2.626249999,4.835483871,80.27815376
1986,11,31.87364969,7.737700415,13.42879992,2.047900026,-5.133099985,10.59745002,2.498900008,8.143333333,47.62327376
1986,12,38.93745003,3.991050202,8.939250016,-0.956100011,-8.913450074,8.00265007,2.396099985,8.993548387,32.41789508
1987,1,87.09290066,2.109750084,7.740450048,-3.520350019,-10.01110005,7.595449996,1.589550006,17.2516129,33.95306633
1987,2,53.2343998,3.098550144,8.364900017,-2.166849989,-7.946350026,7.853649974,1.831699997,11.35714286,40.45061021
1987,3,79.9633502,4.164750206,10.08495009,-1.754499999,-5.853649938,8.295499992,1.37299999,69.29032258,64.34542237
1987,4,15.47315018,11.28905056,19.49235001,3.087200005,-3.512700021,18.177,2.300150013,33.5,136.047152
1987,5,7.953200048,11.66325054,18.56219988,4.765899962,0.597849989,14.41410012,1.805750018,8.751612903,138.4442186
1987,6,2.263200018,17.53720083,25.82789974,9.248249912,-0.515550013,27.0757,4.612900043,2.641,192.9079909
1987,7,8.708399987,17.72730079,25.51314993,9.942849994,-0.151800007,25.63879995,4.723850012,0.654193548,186.0540619
1987,8,11.82784996,19.35750093,27.22455015,11.49169989,1.137250023,29.13675013,6.485599947,0.531935484,179.7763846
1987,9,22.63059993,16.94340067,24.69614992,9.192099977,-0.329099998,24.93809986,4.91444999,1.243,136.1737096
1987,10,97.74059982,12.94375062,19.51099997,6.377949941,0.767150003,16.31559992,3.067349952,7.34516129,81.17986388
1987,11,78.26715031,5.671700191,10.97434993,0.370349968,-4.206399969,8.348000002,1.781449997,22.62333333,39.51525242
1987,12,76.83394966,1.343150051,6.278600025,-3.592150006,-7.573000073,6.01415,1.257599998,12.41935484,27.19882458
1988,1,78.40365047,3.676400185,9.919300032,-2.565749986,-7.724050045,8.433049965,1.7088,33.06451613,40.32974264
1988,2,26.10585002,5.787350309,12.8818501,-1.30625,-8.679949927,11.54395008,2.159249997,26.34482759,59.3533478
1988,3,22.51039991,7.107300401,14.52425008,-0.308650007,-7.349049997,13.00775003,2.156150001,32.70967742,91.59225331
1988,4,87.83019905,8.352600479,14.98069992,1.726149984,-3.951800057,12.97595015,2.662999988,45.03333333,98.06159209
1988,5,10.97059997,11.91525064,19.74205008,4.089749998,-4.248550017,18.09400005,4.195950007,18.43548387,153.5411104
1988,6,0.01715,15.64315081,24.04494972,7.242700005,0.306549982,24.2654501,4.263999987,5.116666667,184.4189795
1988,7,0.035100001,20.410501,28.45144968,12.37139988,5.220749986,29.96510038,5.366450024,0.696774194,206.4742741
1988,8,23.81819997,19.14220095,26.76414995,11.52149997,4.10774999,26.51260004,5.272450042,0.647096774,173.1276051
1988,9,5.106950015,16.62800083,24.4763999,8.78094995,0.207149999,25.61020012,5.907700014,1.202,137.6398761
1988,10,0,14.8682507,22.03790016,7.699800038,-0.942049993,21.1600502,4.962099981,1.043870968,99.34857404
1988,11,47.60280027,7.462450361,13.17670007,1.74920003,-4.336249942,10.92289996,2.519599998,3.52,46.6139845
1988,12,128.7724497,2.3771501,7.505200028,-2.750349987,-8.896449971,8.422799945,1.91639998,13.7483871,28.10864627
1989,1,38.12385025,1.314750073,6.604049993,-3.974400001,-9.345650005,6.908649993,1.430199999,10.02258065,32.34575794
1989,2,100.4802996,2.569850126,8.319699931,-3.179099989,-6.878699946,7.762300062,1.41795001,46.96785714,40.55072834
1989,3,55.90434961,8.334100413,15.19779992,1.471599979,-3.444649991,12.32004991,1.703300005,34.16129032,88.52774557
1989,4,1.898149985,13.01045065,21.06124992,4.961099994,-4.432049987,21.93219995,3.441999996,10.76666667,143.3908004
1989,5,13.28285013,12.54260049,20.13945026,4.946650016,-3.265550014,18.35915003,3.512849998,6.325806452,153.1079765
1989,6,0,16.83080087,25.19854994,8.46444993,-0.760899993,25.28810005,4.825,1.343,190.5410328
1989,7,0,21.1370512,29.14285021,13.13245001,1.445499988,33.03230009,6.566899991,0.203870968,209.7933599
1989,8,3.685000055,18.13775086,26.14049997,10.1365,1.785349989,26.04405003,3.783700013,0.339354839,176.8824107
1989,9,43.25250006,16.89315095,24.57789993,9.209549975,0.004149987,26.16420002,6.10405004,0.966666667,133.3207695
1989,10,28.3346498,11.2628005,18.09475002,4.432399973,-3.908549994,15.95845003,3.731900012,1.961935484,83.28352471
1989,11,11.94204994,8.000000429,14.64694991,1.35454998,-10.15810003,13.54450011,3.482550025,3.136666667,55.15039789
1989,12,2.822800016,5.095250249,11.58225002,-1.390950026,-12.87419996,11.45725002,3.448000026,3.406451613,43.44348265
1990,1,98.98864946,2.685500138,8.251199961,-2.879449977,-8.456000018,7.860649943,1.75054999,7.916129032,34.25253513
1990,2,130.6393003,1.632550105,7.344199991,-4.078700004,-9.064900041,7.867900038,1.484799999,17.24285714,37.32369207
1990,3,34.13104968,6.04395026,12.6368999,-0.548349985,-6.084949994,11.36220002,2.222400016,42.41935484,79.23898432
1990,4,24.90090017,9.561450505,16.46225004,2.662049976,-0.486250018,12.62859998,1.606050006,20.66666667,111.0950509
1990,5,21.92075014,11.00050044,18.3809,3.62140004,-2.361000016,15.5953999,2.799200022,6.725806452,141.1404049
1990,6,1.86535002,17.5291007,25.80530005,9.253800058,-1.580649979,28.97715015,6.532550001,2.092333333,192.654397
1990,7,9.565000018,20.37805109,27.9350502,12.82190003,5.529649997,28.69180031,5.663450027,0.382258065,195.6338777
1990,8,6.115799999,18.72950068,26.52474995,10.93549998,2.018349984,28.04230003,6.140300059,0.52,176.039047
1990,9,7.281650078,17.3497509,25.0145999,9.68635006,1.568149994,25.8371501,5.69265002,0.375333333,137.8932217
1990,10,0.563999992,13.67015071,21.20955009,6.132249987,-5.010799965,22.32320004,5.505699992,0.610645161,99.30295281
1990,11,24.26724988,7.355300379,13.72059994,0.99110001,-9.601749945,13.49080005,3.352050018,1.905333333,51.49356152
1990,12,4.734400046,2.21660011,9.277200079,-4.843450046,-15.23575006,10.15980005,2.333900011,2.861290323,40.25269189
1991,1,65.94720058,3.405000138,9.116750073,-2.306049985,-8.569750023,7.521499968,1.397449988,5.832258065,37.39023424
1991,2,81.33190031,6.980200315,13.95710001,0.004350007,-8.578349972,13.01424994,3.052249992,35.88214286,59.30397785
1991,3,324.1881523,2.052300075,7.506450081,-3.401349993,-5.674950004,6.133749986,0.764399996,222.8709677,41.13732796
1991,4,0.714100001,8.167600417,15.87185001,0.464500001,-6.439900017,14.60119991,2.422099972,198.7,116.3759614
1991,5,1.578450014,10.40265059,18.63485017,2.171850001,-4.179799982,16.67819986,2.64369998,43.12903226,152.0643397
1991,6,0,14.47000084,22.54159985,6.399700034,-2.451049997,21.63245001,3.692149997,7.093333333,172.4569546
1991,7,20.18679986,19.60195112,27.54214983,11.66315007,2.532650029,28.78869991,5.341449952,2.596774194,197.7098579
1991,8,4.967249988,19.1629508,26.75290012,11.57425013,2.397650015,26.3375,5.411549973,1.100645161,174.7033145
1991,9,19.23865004,17.87930088,25.43294983,10.32704999,3.720249978,24.1802001,4.704850006,0.452333333,137.4315835
1991,10,29.72605011,13.5485507,20.54749985,6.55090009,-0.759000019,19.46485004,4.29350003,0.848387097,91.64352515
1991,11,6.468400025,7.719500351,13.70485001,1.73525,-5.597350061,12.08745003,2.490049976,2.461333333,50.52581406
1991,12,74.43585005,3.422500154,8.570700049,-1.724699983,-7.714150023,7.533349991,1.75449999,7.664516129,31.44666666
1992,1,82.39109955,3.607750154,10.03664994,-2.820399982,-9.859150004,9.032549953,2.215350008,26.16451613,41.04935604
1992,2,213.0613499,4.555350208,9.202349973,-0.090799998,-3.350999978,6.354100013,1.007950005,306.8827586,32.20022359
1992,3,205.8855991,4.80255022,9.767200017,-0.161299987,-0.694549989,5.543250012,0.194049999,257,49.51609538
1992,4,6.559950018,11.17615061,19.17950001,3.174099993,-2.427450001,16.89285016,2.279149985,139.2666667,133.6572806
1992,5,9.020100021,13.99670053,21.82989998,6.164800024,2.392649953,18.60590014,1.934600008,30.80645161,164.8899442
1992,6,0,15.61910071,23.76739988,7.472149992,0.470150011,22.71104984,3.728250015,6.883333333,180.043235
1992,7,27.66105013,18.55675097,25.66589994,11.44899993,5.15375005,23.23645029,6.900650024,5.970967742,175.4524873
1992,8,18.16270005,20.50140085,28.36934986,12.63470006,6.905750036,27.47070026,7.189499927,4.232258065,184.743899
1992,9,0.060899999,18.1707509,25.91730013,10.42549999,-0.009150021,26.52835035,6.472700024,3.203333333,142.9621912
1992,10,68.50450068,12.99880075,20.13065004,5.868000019,-1.655899978,18.62035003,5.656349993,3.929032258,88.9336498
1992,11,0,6.105250275,11.93305001,0.278149998,-10.04875002,10.98299985,2.727449977,7.176666667,46.51450906
1992,12,219.5729469,1.509650059,6.065699995,-3.046000002,-8.960199976,6.142450023,1.281850007,70.98709677,21.34276299
1993,1,547.345401,2.519500131,7.119600034,-2.080050011,-5.605799973,5.054550004,1.483499998,2061.645161,11.80274019
1993,2,353.7625992,2.442400105,6.734249949,-1.848550011,-3.412800008,6.846400046,1.111049992,2027.928571,20.54628647
1993,3,48.29680004,7.09785037,13.48249993,0.714249989,-2.890550027,10.47024994,1.5134,496.9354839,79.93025008
1993,4,0,10.26955059,18.01600008,2.524599993,-4.722599974,15.55064998,2.422950017,204.6333333,126.6733797
1993,5,1.21999999,13.56105051,21.16745024,5.95575006,-0.232399992,17.56029997,4.967350054,79.77419355,159.7245946
1993,6,47.72439995,16.17685075,24.42864981,7.926550007,-0.358699994,24.95384979,5.102950025,49.3,179.8661102
1993,7,0,18.1126009,26.01094999,10.21535008,0.792799989,26.36480007,4.912200022,17.96774194,191.1830531
1993,8,0,19.36425076,27.37079992,11.35899997,2.733050016,28.0701499,5.881950021,10.86451613,183.5188865
1993,9,0,17.09635086,25.64375,8.550299978,-1.783199997,27.55660019,5.80364995,9.303333333,149.3609773
1993,10,5.621000016,11.79925056,19.02145004,4.578299987,-2.859799957,16.4697,4.97445004,11.99032258,89.95214038
1993,11,32.9842503,6.526050258,12.51525002,0.538099982,-8.784300017,11.59695001,2.884650016,15.43333333,47.10421616
1993,12,34.53059988,4.465750217,10.90119996,-1.969049992,-9.827049947,10.94765,2.464700019,16.77419355,40.97785649
1994,1,23.30190001,4.897500217,11.26075006,-1.464999998,-9.852250004,11.21179981,2.69885,23.80645161,45.27533688
1994,2,188.99895,2.395250088,7.290900087,-2.499750004,-7.580800009,6.523750043,1.187549996,123.5714286,31.55615249
1994,3,87.9777998,7.130000329,13.05769997,1.203200008,-3.732299982,9.994499969,1.954299998,94.5483871,72.93076632
1994,4,36.71095009,8.802000403,15.86380014,1.741349994,-2.450649995,13.22350006,2.829449999,39.93333333,108.9922242
1994,5,17.48119991,11.72635055,19.48864994,3.965350068,0.576300005,16.56194987,1.786400014,25.67741935,150.9735028
1994,6,0,19.25835075,27.81810007,10.69994998,0.372750014,30.85550003,6.799849939,6.84,207.765188
1994,7,0.309850005,21.05145092,29.07805023,13.0256001,2.861250022,32.01910009,7.309899998,2.44516129,209.7010842
1994,8,14.57964976,21.66195126,29.84479971,13.48025007,3.932900023,32.53924999,9.530300045,2.239354839,196.7180466
1994,9,0,17.30340075,24.77249985,9.835699987,1.235949992,24.38859978,5.870899987,2.306666667,135.6287759
1994,10,36.47915002,10.51745052,17.33800006,3.69824999,-2.360850001,13.86704998,3.892549956,4.816129032,80.51799339
1994,11,42.43665004,3.309950143,9.189100075,-2.568500009,-9.121349978,8.651399946,2.493350011,7.6,39.76445691
1994,12,56.96720018,3.589450186,8.677950001,-1.498349979,-7.264150023,7.104699969,1.614899999,12.84193548,31.94919636
1995,1,366.2018524,2.548900148,6.353299975,-1.254450008,-2.064249961,3.261299992,0.384750001,579.2483871,14.07203687
1995,2,106.16975,6.964400291,13.15780001,0.772249977,-1.910600009,9.239349985,2.337600011,541.6071429,52.63252322
1995,3,288.3126045,5.74825027,11.44284997,0.054800009,-1.627399997,6.75940001,0.8141,846.6451613,54.01369161
1995,4,20.48899984,7.624400306,14.80610013,0.443650004,-4.897649962,12.71379995,1.94455002,195.2,106.5494676
1995,5,13.57569983,9.304350448,16.05554996,2.554649985,0.609799993,11.8575501,1.068400002,77,124.4727435
1995,6,25.56849971,15.25485058,24.01555004,6.495500028,0.148649991,24.52285013,3.898099983,39.8,185.5418287
1995,7,5.599349952,19.79135094,28.38995028,11.19370008,1.635799998,31.19894962,6.653100014,12.29677419,213.0338191
1995,8,5.416750026,21.44490099,29.47175007,13.41930008,3.668300024,31.67980032,8.66864996,5.109677419,193.7796945
1995,9,2.078499973,18.29420085,25.63060007,10.95899997,1.654300024,25.0408,7.256149983,4.506666667,137.4763627
1995,10,0,13.31330061,20.98850012,5.639449996,-5.00954999,20.30950003,3.874650013,5.980645161,99.5236864
1995,11,1.330500001,10.52750039,17.60395017,3.452250012,-4.553800005,15.68440003,4.410100043,9.17,64.17022619
1995,12,30.76879971,5.494050241,11.42144995,-0.432499984,-6.76570003,10.18204994,2.532650018,12.78064516,40.37278357
1996,1,39.09640007,5.56650027,11.30974998,-0.17550001,-6.796699941,10.18179998,2.100800014,12.37741935,42.50937676
1996,2,271.2770504,5.698150325,10.85514994,0.54224999,-1.548599985,6.945350027,1.081300008,258.3793103,35.07414962
1996,3,86.30110035,6.84035027,13.43084993,0.250950001,-3.987100005,11.22555003,1.446350002,109.1612903,78.80062598
1996,4,16.72525,11.14185052,18.92790008,3.357150011,-5.469149995,18.07609982,3.057350016,30.83333333,129.9137073
1996,5,1.247600013,13.95585065,22.29569979,5.617849982,-0.838949973,20.67310004,3.713849986,10.58387097,173.5180623
1996,6,0,17.60470095,26.41899996,8.791900039,-0.92829999,28.33780003,5.966100001,4.246666667,202.7549323
1996,7,7.566699994,21.9039011,29.50804977,14.30090003,5.649100029,30.68810005,8.217450047,1.870967742,204.8433142
1996,8,4.642799965,21.52065105,29.98294992,13.06004992,3.562149933,34.07014999,6.736849976,0.960322581,202.2330783
1996,9,2.571700011,17.25760074,24.92929993,9.587200046,1.209299995,24.50184984,5.77445004,1.109333333,138.0150586
1996,10,39.13954978,11.65195041,18.81580014,4.489000016,-4.654099989,18.42950006,4.908549976,2.635483871,86.97900288
1996,11,103.5227001,7.536600399,13.47254992,1.602049986,-4.707200009,11.11149993,2.415899998,20.16,45.95108923
1996,12,135.2358994,5.068900216,9.915200019,0.223549997,-6.851849973,8.409850097,2.245099992,52.53225806,30.19175999
1997,1,222.6009979,3.41350016,7.943550014,-1.115700008,-2.909799968,5.522549987,0.881249997,173.0645161,25.23226919
1997,2,22.37364998,4.940850246,11.28419991,-1.401449995,-9.120649934,10.28345008,2.111299986,47.03571429,52.52651897
1997,3,0,9.238350487,17.64669995,0.831100008,-8.640750027,17.31040006,3.254050028,27.51612903,111.2437774
1997,4,3.149549988,9.092500567,16.0638999,2.122450012,-4.341500008,13.88174987,2.235949993,13.74666667,111.6372323
1997,5,0,15.68145084,23.91815004,7.446049976,0.768549999,23.05220003,5.730199981,5.812903226,181.5956932
1997,6,3.490150002,15.89530077,23.80994997,7.981850004,2.543749994,21.60594997,3.269899994,2.636666667,177.2314149
1997,7,8.267600006,19.36560116,27.56934996,11.16334996,2.605249988,29.74729996,6.358499956,1.163225806,202.834428
