datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
6/7/00,18.6,44.34,57.48,52.42,205,50.46
12/17/00,13.4,5.58,69.66,70.8,139,56.65
12/18/00,39,6.69,68.86,70.71,242,50.65
3/18/01,70.6,25.38,76.28,57.38,100,84.27
3/22/01,85.8,27.93,65.47,57.22,625,41.25
3/23/01,194,33.07,60.06,57.01,294,43.25
3/24/01,232.8,35.46,51.86,56.82,163,45.24
3/25/01,249.2,36.76,48.65,56.65,121,46.24
3/30/01,83.8,39.61,48.63,55.81,321,46.22
3/31/01,123.8,42.17,48.63,55.63,298,44.22
4/1/01,165,44.53,48.02,55.44,143,46.21
4/2/01,177.8,45.62,47.62,55.31,98,49.21
4/8/01,58.4,48.4,53.59,54.82,119,57.18
4/9/01,67.6,49.32,54.99,54.78,118,54.18
5/14/02,19.36,21.46,69.71,73.23,186,75.5
5/19/02,87.34,24.49,91.69,73.81,101,83.48
11/18/02,32.34,3.25,88.92,102.79,93.4,77.71
12/14/02,30.06,9.19,71.21,99.67,137,66.6
12/15/02,54.86,10.33,70.61,99.17,141,62.6
12/20/02,66.88,13.11,59.59,95.16,108,68.57
12/21/02,60.28,14.01,61.08,94.68,200,55.57
1/2/03,31.88,19.74,51.73,89.67,122,50.52
2/23/03,16.04,29.01,66.71,71.36,92.4,66.3
3/3/03,42.72,32.52,66.68,68.43,102,61.27
3/18/03,48.86,37.77,80.62,64.48,144,72.21
3/19/03,69.12,38.19,80.21,64.43,123,67.2
3/21/03,94.86,39.21,77.41,64.24,231,68.19
3/22/03,133.24,40.94,72.8,64.15,185,61.19
3/23/03,152.26,42.1,67.8,64.07,119,63.18
3/30/03,55.06,44.43,71.77,63.75,211,72.15
3/31/03,84.9,46.03,72.56,63.71,186,67.15
4/1/03,110.98,47.42,71.96,63.65,98.2,70.15
4/12/03,55.84,51.49,81.71,64.24,147,76.1
5/27/03,24.66,45.73,85.12,75.21,223,62.91
6/2/03,54.24,49.17,69.9,75.53,106,70.89
6/23/03,32.2,54.01,77.81,77.09,154,78.8
10/28/03,17.92,9.4,80.88,85.68,99.6,71.26
10/29/03,35.6,10.12,79.07,85.59,259,59.26
10/30/03,85.24,12.18,75.07,85.35,160,49.26
12/11/03,18.12,17.98,56.89,77.44,129,66.08
12/12/03,40.46,18.97,58.69,77.35,178,48.08
12/15/03,87.32,21.04,53.28,76.59,103,52.06
12/18/03,73.94,22.98,51.06,76,258,47.05
12/19/03,112.38,25.07,51.26,75.74,98.2,46.05
12/25/03,47.54,27.67,52.03,74.23,116,53.02
4/1/04,26.7,32.08,83.62,67.79,242,68.61
4/2/04,69.52,33.97,80.62,67.88,208,62.61
4/13/04,28.22,34.79,76.37,69.4,99.8,78.56
4/14/04,41.5,34.76,77.17,69.62,523,44.56
4/15/04,140.06,38.53,70.96,69.56,212,50.55
4/16/04,176.98,39.6,65.76,69.49,117,57.55
4/27/04,49.36,37.68,74.31,71.25,143,68.5
11/29/04,28.18,10.93,86.41,94.01,160,65.59
12/1/04,65.12,12.71,78,93.44,98.8,66.59
12/2/04,77.52,13.49,74.79,93.12,119,61.58
12/8/04,41.22,15.77,66.37,90.88,94.9,65.56
12/11/04,55.18,17.45,66.76,89.86,107,62.54
12/24/04,25.32,20.6,64.5,86.03,130,59.49
1/14/05,56.44,28.76,69.81,80.42,196,72.4
1/15/05,79.22,30.38,70.61,80.19,164,63.4
2/15/05,48.84,38.52,76.88,74.27,119,73.27
2/16/05,59.88,39.4,76.07,74.03,131,67.26
2/17/05,72.46,40.37,74.67,73.77,124,65.26
3/28/05,40.96,47.57,87.11,70.12,138,86.09
3/29/05,60.74,48.33,86.7,70.11,370,55.09
3/30/05,127.04,50.08,81.5,70.02,154,64.09
4/2/05,163.02,50.31,69.49,70.11,137,72.07
4/3/05,162.82,50.97,66.68,70.19,331,61.07
4/4/05,155.02,53.37,67.88,70.15,161,62.06
4/5/05,156.42,54.41,67.47,70.12,93.4,68.06
4/24/05,20.26,53.05,91.99,73.21,118,86.98
4/25/05,39.76,53.51,91.59,73.47,100,80.98
4/28/05,71.58,54.41,85.58,74.14,94,80.96
5/1/05,64.22,55.36,82.16,74.71,110,77.95
5/26/05,22.9,50.18,90.06,78.97,97,76.85
10/15/05,30.16,3.46,130.26,126.24,666,63.25
10/16/05,158.32,8.96,118.06,125.91,239,58.25
10/17/05,203.6,10.9,103.45,125.28,107,66.24
10/25/05,42.28,14.34,79.02,123.18,116,79.21
10/26/05,56.9,15.29,80.02,123.07,162,70.2
11/22/05,32.4,23.22,80.3,116.63,143,73.09
11/23/05,53.38,24.4,78.9,116.37,151,68.09
12/26/05,25.06,36.19,73.96,97.78,127,72.95
12/27/05,45.06,37.24,74.36,97.2,125,66.94
