datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
12/22/69,65,60.01,185.72,216.57,212,148.49
2/3/70,92,96.92,178.73,211.34,250,159.12
2/10/70,99.4,103.18,183.79,208.25,244,148.06
2/11/70,125.2,104.91,178.27,207.4,496,135.05
3/29/70,135,124.76,173.07,181.04,300,158.65
3/30/70,168,126.88,170.07,180.3,350,162.64
3/31/70,218,129.43,166.46,179.38,255,178.63
4/2/70,247,132.23,165.04,177.78,600,124.61
4/3/70,335,136.85,155.63,176.18,710,105.6
4/15/70,99.6,139.13,166.53,171.05,420,147.5
4/16/70,164.4,141.93,163.72,170.75,230,152.49
4/20/70,205.4,144.75,158.48,169.61,227,155.46
8/23/70,26.8,55.33,240.6,209.28,260,178.37
8/24/70,73.4,56.33,231.39,209.32,218,157.36
11/5/70,40.4,34.79,206.26,230.89,278,161.73
12/17/70,48.6,43.94,190.35,215.51,408,133.37
1/5/71,50.4,49.78,187.43,207.72,339,147.2
2/8/71,71.2,61.58,168.92,192.55,674,90.91
2/9/71,198.6,67,142.91,190.71,320,118.9
2/27/71,107.6,78.77,164.77,178.25,215,165.74
3/4/71,124.2,82.77,171.52,176.78,308,148.7
10/24/71,74.2,92.06,194.84,230.52,281,186.43
11/25/71,59.6,112.83,203.26,218.46,350,185.05
12/8/71,119.8,131.28,167.05,217.55,257,154.64
2/14/72,99,114.63,0,195.37,231,148.57
2/19/72,132.6,116.6,168.65,193.97,383,145.6
2/20/72,163,119.21,168.05,193.08,387,144.63
3/3/72,143.6,119.26,167.75,192.25,217,162.53
3/4/72,147.4,119.99,166.45,191.89,223,149.52
3/15/72,120,124.82,176.05,188.57,332,140.43
3/17/72,180.2,127.83,160.24,187.3,257,145.41
3/18/72,210.2,129.44,154.63,186.67,310,131.4
4/17/72,91.8,117.59,176.57,181.9,284,130.14
5/9/72,121.6,120.43,0,176.66,239,119.56
5/10/72,126,120.77,119.56,176.14,271,124.94
5/15/72,143.8,122.48,150.32,174.45,317,114.9
5/20/72,160.6,126.08,144.88,171.45,417,112.85
5/21/72,180.6,128.84,144.47,170.63,316,115.84
11/14/72,306.4,68.21,0,232.97,305,103.98
11/15/72,178,70.18,103.98,230.7,582,120.3
11/20/72,221.6,76.97,150.28,224.22,508,95.26
11/21/72,206.8,80.78,145.27,222.17,217,130.25
12/1/72,144,87.95,138.79,211.68,305,115.16
12/9/72,118.8,94.68,158.87,205.63,226,132.09
12/16/72,122.4,101.08,154.66,200.72,224,137.03
12/22/72,113.2,105.88,159.21,194.82,355,121.98
12/23/72,158.6,108.57,153.6,192.95,248,125.97
12/24/72,187,110.35,147.39,191.52,215,125.96
1/28/73,106,128.09,162.08,162.4,368,103.66
1/29/73,153.2,130.82,151.88,160.52,604,101.65
1/30/73,254,135.58,139.87,158.47,233,120.64
2/2/73,296.2,139.08,120.64,155.62,259,134.61
2/3/73,274.4,140.95,126.83,155.38,638,93.61
2/7/73,278.6,142.37,126.4,153.98,299,132.57
