datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
9/20/89,79.4,242.36,419.94,313.61,940,380.28
9/21/89,255.4,245.14,415.52,314.32,1320,237.26
10/20/89,330.4,207.65,291.3,300.47,2090,179.63
10/21/89,726.8,221.63,270.07,299.75,3810,106.61
10/22/89,1468.2,249.93,232.65,298.39,2250,113.59
10/23/89,1884,262.57,193.43,297.16,1240,134.57
1/26/90,368.2,311.47,444.93,297.22,920,356.52
1/27/90,490.8,316.25,425.23,298.38,946,291.5
1/30/90,705,328.73,284.49,299.3,1710,236.44
1/31/90,962.2,340.23,274.88,299.37,1630,211.42
2/1/90,1104.2,349.53,245.86,299.15,1040,205.39
3/21/90,236,287.82,335.83,327.68,971,287.36
3/22/90,394.2,293.56,325.4,328.22,1160,237.34
5/11/90,435.8,392.52,238.93,297.9,1340,201.26
5/12/90,585.4,402.17,225.71,295.71,993,175.24
5/14/90,756,413.51,200.46,290.23,983,176.2
5/17/90,827.6,430.45,176.4,282.4,1440,182.13
5/18/90,917,441.32,177.78,279.99,1050,181.11
5/30/90,297.4,443.29,250.12,265.35,1300,247.85
5/31/90,494.2,439.88,252.9,265.45,1040,195.83
8/7/90,150.4,316.34,321.63,271.08,1740,242.37
8/8/90,474.8,328.17,308.81,271.05,1660,136.35
8/12/90,1129.2,350.19,171.53,267.54,1090,174.26
10/24/90,128.8,208.24,315.36,297.61,1140,263.69
11/11/90,229.2,232.46,262.37,282.07,1970,172.3
11/12/90,595.8,245.14,246.95,280.79,1210,126.28
12/4/90,180,273.88,250.27,265.95,1630,226.81
12/5/90,467.8,283.93,246.45,265.08,2210,120.79
12/6/90,873.2,287.84,221.03,264.05,1230,114.77
12/25/90,581.4,292.66,211.82,261.35,1030,179.36
3/4/91,216.8,407.88,317.94,260.85,2040,269.87
3/5/91,581.6,423.83,308.52,261.15,1790,186.85
3/6/91,898.8,437.78,282.89,260.67,1100,181.83
3/7/91,1079.8,445.8,255.87,260.1,966,185.81
4/22/91,267,392.38,328.68,293.38,1170,234.82
4/23/91,453,397.83,309.66,293.65,977,180.8
11/23/91,103.2,92.45,354.06,306.25,1080,299.19
11/24/91,306,100.73,343.03,305.75,957,190.17
12/4/91,217.8,119.57,192.22,292.44,917,185.95
