datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
2/19/98,55.2,33.04,252.73,356.85,106,183.21
2/24/98,78.8,35.65,193.53,344.76,103,228
2/25/98,78.2,36.3,202.48,342.9,153,191.96
2/26/98,91,37.4,204.24,340.74,132,182.92
2/27/98,102.4,38.35,202.4,338.52,105,187.88
3/10/98,57.8,42.52,202.55,320.82,155,165.43
3/11/98,78,43.56,195.51,319.4,123,158.39
3/20/98,64.8,48.5,200.75,308.33,113,188.02
5/6/98,49,60.76,251.43,265.59,114,190.11
5/7/98,65,61.39,232.79,264.64,143,165.07
5/8/98,84,62.18,213.15,263.63,128,160.02
5/9/98,100.2,62.63,195.31,262.86,103,165.98
5/10/98,110.6,62.73,181.07,262.22,173,163.94
5/11/98,132.2,63.53,169.02,261.6,204,147.9
5/12/98,150.2,64.73,160.58,260.83,179,137.86
5/13/98,157.4,65.82,155.14,259.96,145,148.82
5/14/98,160.8,66.68,152.9,258.92,118,164.78
6/13/98,30.2,65.46,268.88,238,149,191.56
6/14/98,52.8,66.09,254.04,237.65,394,89.52
6/15/98,124.6,68.87,222.2,236.52,396,78.47
6/16/98,198,71.77,185.16,235.19,358,113.43
6/17/98,264,74.42,153.52,233.98,243,153.39
6/18/98,308,76.13,125.27,232.96,194,182.35
6/19/98,317,77,123.43,232.26,163,206.31
6/20/98,270.8,77.48,146.79,232.46,141,219.27
6/21/98,219.8,77.91,174.95,232.76,124,232.23
6/22/98,173,78.32,198.71,233.09,106,246.19
7/1/98,67.4,77.04,278.54,238.54,111,233.82
7/2/98,74.6,77.41,269.7,238.88,110,230.78
12/15/02,33.2,26.26,322.53,594.52,144,159.41
12/16/02,59.66,27.23,292.69,589.53,111,188.37
12/21/02,75.52,29.23,211.48,567.1,122,181.16
12/22/02,77.72,30.02,210.04,562.36,101,179.12
3/22/03,66.16,37.03,310.57,379.89,112,230.45
3/23/03,79.38,37.64,285.33,379.9,106,216.41
3/30/03,82.7,41.39,254.05,374.82,139,303.12
3/31/03,92.54,42.38,270.2,374.93,146,258.08
4/1/03,104.98,43.44,276.16,374.87,116,275.04
4/2/03,111.5,44.27,285.52,374.84,100,297
4/12/03,79.42,50.3,430.31,369.86,130,378.59
4/13/03,88.9,51.13,432.87,370.64,123,382.55
4/14/03,97.66,51.49,394.23,371.56,103,406.51
6/2/03,66.62,52.72,417.03,407.76,119,371.51
6/23/03,33.64,59.53,430.38,394.13,113,289.66
4/2/04,34.4,20.8,263.79,417.62,181,132.07
4/3/04,66.8,22.24,235.75,415.99,159,169.03
4/4/04,95.4,23.5,214.51,414.6,131,244.99
4/5/04,118.8,24.52,207.07,413.61,116,290.95
4/14/04,54,27.75,362.5,408.23,127,276.58
4/15/04,67.4,28.41,346.26,408.25,128,290.54
4/16/04,82.2,29.08,331.22,408.42,103,328.5
1/14/05,68.34,33.71,424.28,337.66,125,336.36
1/15/05,79.36,34.62,414.04,335.79,164,236.32
1/16/05,98.84,35.85,386.2,333.11,130,235.28
1/17/05,112.1,36.47,357.96,332.24,108,265.24
2/17/05,66.88,46.49,388.9,343.84,102,308.97
3/28/05,58.34,55.4,446.51,348.72,100,409.38
3/29/05,68.04,56.01,457.06,350.08,250,289.34
3/30/05,106.52,57.69,389.82,350.6,245,273.3
3/31/05,143.5,59.44,360.58,351.1,210,309.26
