datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
9/7/08,457,436.41,250,282.28,2990,179
10/29/08,682.8,356.07,292.6,290.53,2970,212
12/12/08,628.4,467.79,330.4,300.21,12000,124
12/13/08,2935.2,565.53,292,299.09,4700,169
12/25/08,1280,696.05,663,318.23,4910,468
5/7/09,969.8,559.23,356.6,476.61,6300,204
5/8/09,2130.6,594.48,320.4,474.1,2740,242
6/14/09,892,651.27,313.75,395.71,3300,209
7/2/09,612.6,757.85,329.2,372.44,3370,267
8/2/09,1080,855.57,271.6,325.09,3500,226
8/3/09,1668.4,869.73,258.8,324.17,7900,156
8/22/09,462.6,939.33,315.2,309.11,3180,184
8/23/09,997.8,961.57,289.8,307.48,3120,217
8/28/09,1179.6,993.95,267.2,302.66,3040,214
10/25/09,361.6,726.73,350.4,313.58,3870,187
10/28/09,1405.8,760.81,272,311.15,4520,190
10/29/09,2259.8,794.21,237.4,309.93,2810,198
12/3/09,368.2,632.93,332.8,317.13,2980,227
12/9/09,1013.8,661.51,301,316.96,6520,267
12/14/09,3400,775.95,287.25,316.63,3860,261
12/26/09,719.2,796.96,361.4,319.82,3280,490
12/27/09,1205.2,798.96,390.8,322.13,10800,206
12/28/09,3208.8,873.13,356.4,321.97,3500,247
1/25/10,573,982.29,369.2,331.27,4750,291
1/26/10,1385.8,1017.72,351,330.88,7170,184
2/24/10,685,1143.13,680,371.27,4000,485
2/25/10,1384,1166.29,645.4,373.27,3280,522
3/13/10,1320,1256.07,311,393.05,5240,287
3/14/10,2080,1296.85,304.4,392.62,22200,152
3/15/10,6232,1478.75,273,391.01,9560,216
3/16/10,7880,1555.25,255,389.94,4670,246
3/17/10,8574,1591.18,242.8,389.14,3020,269
3/23/10,1684,1663.37,295.8,387.32,6730,199
3/24/10,2582,1716.09,278.8,386.4,2860,236
3/29/10,1850,1776.59,269.4,384,5630,211
3/30/10,2404,1820.65,264.4,382.99,6660,187
3/31/10,3344,1873.22,249.4,381.76,9220,176
4/1/10,4844,1946.76,229.4,380.39,3640,231
5/3/10,813.2,1719.23,290,374.08,2650,257
10/1/10,338.8,404.58,290.4,283.97,6530,180
10/2/10,1584.6,456.03,269.6,282.47,2650,183
12/2/10,671.6,424.03,359,308.08,2970,186
2/19/11,1254.4,509.26,499.6,522.6,3100,298
2/25/11,887.2,562.35,439.2,523.96,3760,432
2/26/11,1371.2,591.88,454,524.35,3360,315
3/7/11,1116,689.37,357.4,523.06,11300,185
3/8/11,3130,780.59,326.4,521.83,3560,243
