datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
1/25/98,89.2,23.33,124.8,172.75,237,149.77
2/19/98,107.6,41.82,122.33,160.95,258,120.5
2/25/98,158.6,50.23,111.67,157.89,263,121.43
3/2/98,206.8,58.45,106.01,156.4,229,96.38
3/3/98,200,59.95,101,156.05,226,93.37
3/9/98,151,67.41,95.93,152.92,542,84.3
3/10/98,221.2,71.76,94.12,152.33,1270,70.29
3/11/98,441.8,82.1,89.31,151.63,629,73.28
3/12/98,538.4,87.18,84.9,150.98,383,81.27
3/13/98,589,90.25,81.69,150.39,275,85.26
3/14/98,619.8,92.43,78.88,149.87,239,95.25
3/19/98,189.6,99.78,95.62,147.44,286,88.19
3/20/98,199,102.08,94.21,146.81,399,79.18
3/21/98,236.8,105.33,90.2,146.07,289,82.17
3/22/98,258.2,107.66,87.79,145.34,244,91.16
5/10/98,163.6,151.79,105.86,110.14,460,86.62
5/12/98,323.4,159.73,100.14,109.39,619,70.6
5/13/98,408.4,164.03,92.38,109.12,371,75.59
5/14/98,450.8,166.34,84.86,108.78,263,80.58
6/14/98,55.6,165.61,109.27,103.04,516,68.24
6/15/98,150.2,168.86,100.86,102.7,481,62.23
6/16/98,238.6,172.14,91.45,102.3,313,64.22
6/17/98,294.4,174.16,81.84,101.85,485,62.21
6/18/98,385,177.66,71.03,101.34,562,58.2
6/19/98,471.4,180.77,63.02,100.55,355,62.18
6/20/98,439.2,181.58,61.81,100.06,407,64.17
6/21/98,424.4,183.33,62.2,99.65,255,66.16
7/1/98,91.6,178.55,90.89,97.5,261,83.05
1/24/99,110,18.54,173.62,196.66,304,131.79
1/25/99,141.2,21.02,158.81,195.54,465,99.78
2/3/99,76.2,31.6,112.31,182.96,294,149.68
2/4/99,117.2,34.01,121.5,182.11,228,116.67
3/4/99,109.6,52.66,125.39,163.69,395,92.36
3/5/99,178.4,55.91,118.18,162.92,257,90.35
3/22/99,117,70.45,108.4,154.95,352,86.16
3/23/99,171,73.31,97.59,154.33,332,90.15
3/12/00,86.4,31.26,125.5,180.61,303,115.27
3/13/00,130,33.68,123.89,180.02,295,97.26
3/17/00,206.4,39.37,106.05,177.01,246,108.21
4/22/00,77.8,70.01,121.65,156.86,1010,69.82
4/23/00,265.4,78.26,111.04,156,676,69.81
4/24/00,386.8,83.75,100.63,155.16,434,75.8
4/25/00,459,87.24,91.22,154.29,343,82.79
4/26/00,513.6,89.98,83.21,153.48,295,84.78
4/27/00,551.6,92.32,76.6,152.68,300,85.77
4/28/00,409.6,94.7,79.79,151.82,258,92.75
6/7/00,62.2,119.34,190.35,147.34,614,105.32
6/8/00,175.4,124.38,174.94,146.54,365,90.31
3/22/01,77.6,29.76,178.2,177.17,544,110.16
3/23/01,172.8,34.18,159.99,176.67,666,106.15
3/24/01,291.2,39.63,144.18,176.18,376,110.14
3/25/01,351.2,42.69,131.56,175.76,287,113.13
3/26/01,392.6,45.01,120.55,175.32,233,111.12
3/31/01,188,52.06,121.7,172.84,245,160.07
4/6/01,176.6,60.8,128.63,170.24,234,112
4/7/01,181.8,62.67,123.62,169.54,296,110.99
4/8/01,206.8,65.06,119.81,168.85,444,100.98
4/9/01,264.2,68.68,113.8,168.16,537,89.97
4/10/01,339.4,73.08,106.39,167.38,780,81.96
4/11/01,458.2,79.48,99.18,166.39,693,82.95
4/12/01,550,85.16,93.37,165.43,645,83.93
4/13/01,619.8,90.44,87.96,164.48,617,80.92
4/14/01,654.4,95.49,83.95,163.58,573,81.91
4/15/01,661.6,100.17,82.33,162.66,445,89.9
4/16/01,594.6,103.79,83.92,161.78,346,90.89
4/17/01,525.2,106.12,85.51,160.6,290,89.88
4/18/01,454.2,107.83,86.7,160.12,242,93.87
6/18/01,25,126.28,219.63,153.58,241,136.2
12/21/02,71.68,16.08,220.2,264.67,538,114.17
12/22/02,167.9,20.55,192.99,263.72,238,113.16
