datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
6/7/00,6.76,15.77,108.5,107.85,53,95.08
12/18/00,9.56,1.83,161.33,129.58,66,140.71
3/22/01,29.2,9.3,155.27,147.09,112,110.05
3/23/01,46,10.21,144.66,146.78,92,96.04
3/24/01,57.8,10.97,131.86,146.3,56,96.03
3/25/01,63.2,11.42,119.25,145.81,43,97.03
3/30/01,31,12.55,102.01,143.91,65,99.99
3/31/01,35.4,13.05,102.61,143.55,90,104.99
4/1/01,46.6,13.77,103.6,143.2,48,100.98
6/18/01,13.36,16.72,0,133.55,96,110.43
6/19/01,31.22,17.42,110.43,133.08,39,111.42
5/14/02,9.13,10.32,186.12,187.92,49.8,161.1
11/18/02,15.78,1.2,130.8,110.82,39.3,138.78
12/14/02,9.85,2.57,169.42,123.36,41.2,167.6
12/15/02,17.87,2.92,169.61,123.76,47.6,154.59
12/21/02,15.65,3.96,150.37,127.08,64,121.55
3/18/03,18.64,13.27,179.16,159.47,40.8,163.94
3/19/03,23.16,13.29,176.35,159.68,39.1,156.93
3/21/03,31.6,13.62,166.34,159.66,52.3,140.91
3/22/03,38.64,14.02,157.53,159.47,51.3,134.91
3/30/03,22.72,15.56,121.47,157.17,55.1,124.85
3/31/03,28.7,16.01,122.47,156.85,60.1,132.84
4/12/03,23.26,18.65,147.78,154.29,45,151.76
5/27/03,9.3,17.37,163.06,160.26,52.1,145.44
6/2/03,20.78,18.44,162.02,160.54,41.1,145.4
12/12/03,12.28,7.96,130.55,130.55,61.4,117.04
12/15/03,30,8.74,125.04,125.04,44.9,117.02
12/16/03,37.42,9.08,122.63,123.7,38.6,119.01
12/18/03,34.02,9.62,122.42,123.78,91.5,118
12/19/03,46.08,10.36,121.01,123.14,48.4,112.99
12/25/03,25.86,11.75,105.97,116.74,46.4,98.95
4/1/04,11.68,13.53,151.88,138.13,61.9,138.26
4/2/04,21.68,13.99,148.87,138.13,72.1,135.25
4/3/04,33.66,14.53,145.47,138.11,42.8,140.25
4/14/04,19.18,14.81,135.39,138.62,108,106.17
4/15/04,37.32,15.39,129.58,138.51,65.3,107.16
4/16/04,47.26,15.65,123.77,138.33,43.9,106.15
4/27/04,21.78,14.69,124.5,139.55,46.4,118.08
11/29/04,9.61,3.21,174.18,170.1,48.5,153.55
12/24/04,9.05,6.68,138,168.89,39,127.38
1/14/05,23.36,9.83,135.05,159.12,49.7,139.23
1/15/05,26.88,10.23,136.64,158.74,57.8,132.22
2/15/05,18.64,13.59,152.23,148.8,43.2,152.01
2/16/05,23.34,13.93,151.62,148.62,48.6,144
2/17/05,27.94,14.3,151.41,148.4,44.4,146.99
3/29/05,20.54,18.17,173.13,145.31,88.7,143.71
3/30/05,34.86,18.5,167.72,145.23,49.7,135.7
4/2/05,48.24,18.76,141.3,144.27,50.6,125.68
4/3/05,51.84,19,132.5,144.02,93.8,113.67
4/4/05,52.86,19.64,126.49,143.61,57.7,135.67
