datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
6/18/98,16.3,6.53,491.79,536.33,29,468.66
6/19/98,20.62,6.76,482.55,535.2,30,462.62
6/20/98,25,7,474.5,533.97,30,458.57
3/30/00,22.6,8.14,576.81,577.38,29,574.49
3/31/00,24,8.36,576.17,577.75,29,575.44
4/1/00,25.4,8.58,575.73,578.12,29,574.4
4/2/00,26.8,8.81,575.09,578.46,29,575.36
4/3/00,28.2,9.03,574.84,578.77,31,574.31
4/4/00,29.4,9.27,574.8,579.09,33,567.27
4/5/00,30.2,9.51,573.36,579.36,34,548.23
4/6/00,31.2,9.75,567.91,579.57,33,548.18
4/7/00,32,9.98,562.67,579.75,33,551.14
4/8/00,32.8,10.21,557.83,579.94,33,531.1
4/9/00,33.2,10.44,549.18,579.95,33,539.05
4/10/00,33.2,10.67,543.54,580.02,33,537.01
4/11/00,33,10.9,541.3,580.03,33,535.97
4/12/00,33,11.13,538.85,580.03,33,533.92
4/13/00,33,11.36,535.41,580.03,33,533.88
4/14/00,33,11.59,535.97,580.03,33,533.84
4/15/00,33,11.82,534.92,580.03,33,534.79
4/16/00,33,12.05,534.48,580.02,33,539.75
4/17/00,33,12.28,535.24,580.03,32,542.71
4/18/00,32.8,12.5,536.99,580.01,32,539.66
4/19/00,32.6,12.72,538.15,579.95,32,531.62
4/20/00,32.4,12.95,537.71,579.85,35,530.58
4/21/00,32.8,13.19,536.86,579.72,37,530.53
5/7/00,25.2,14.63,532.37,576.47,29,535.84
5/8/00,26.4,14.82,534.53,576.32,29,536.8
5/9/00,27.8,15.01,535.28,576.18,30,539.75
5/10/00,28.8,15.21,536.84,576.09,31,539.71
5/11/00,29.4,15.42,537.8,576.03,31,535.67
5/12/00,30,15.62,537.55,575.92,30,534.62
5/13/00,30.2,15.82,537.31,575.81,30,534.58
5/14/00,30.4,16.02,536.87,575.71,31,534.54
5/15/00,30.6,16.23,535.82,575.59,31,535.49
5/16/00,30.6,16.43,534.98,575.44,31,534.45
8/10/00,7.42,10.38,568.66,559.89,34,538.73
9/21/00,15.54,4.21,571.84,574.43,30,568.91
9/22/00,19.98,4.41,570,574.66,32,568.87
9/23/00,24.6,4.63,569.15,574.95,31,566.82
9/24/00,27.8,4.84,568.31,575.35,31,564.78
9/25/00,29.8,5.05,567.27,575.65,30,563.74
9/28/00,29.4,5.62,562.94,576.18,31,556.61
9/29/00,29.4,5.83,560.89,576.32,31,554.56
7/10/02,5.74,3.21,741.21,761.84,30.4,726.48
7/11/02,10.91,3.46,737.16,761.75,39.9,726.43
7/12/02,18.01,3.79,733.72,761.65,39.6,723.39
7/13/02,25.07,4.12,729.88,761.5,39.3,724.35
7/14/02,32.06,4.44,726.63,761.35,38.4,721.3
