datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
2/15/05,2.27,1.7,291.66,261.22,3.42,263.61
2/16/05,2.36,1.72,286.24,261.37,3.8,255.59
2/17/05,2.57,1.74,274.82,261.61,4.01,254.57
3/28/05,2.36,2.14,300.35,273.22,4.73,262.9
3/29/05,2.86,2.17,293.54,273.43,8.59,254.88
3/30/05,4.1,2.22,282.92,273.7,6.28,287.87
3/31/05,4.89,2.25,279.3,274.08,5.43,291.85
4/1/05,5.49,2.28,278.08,274.61,4.74,288.83
4/2/05,5.95,2.3,277.27,275.05,6.16,274.82
4/3/05,6.24,2.34,279.65,275.29,8.04,264.8
4/4/05,6.13,2.39,281.63,275.38,6.02,283.78
4/5/05,6.08,2.43,280.82,275.6,4.94,284.76
4/6/05,5.98,2.46,279.4,275.79,3.96,289.75
4/7/05,5.82,2.48,279.58,276.22,3.48,293.73
4/8/05,5.29,2.48,283.36,276.86,3.7,283.71
5/26/05,1.62,2.2,279.34,291.82,5.06,211.89
7/6/05,0.4,1.96,289.23,288,4.29,215.18
7/9/05,2.1,1.99,257.18,286.24,3.56,200.13
10/15/05,0.92,0.45,224.29,294.67,15.8,147.44
10/16/05,3.92,0.57,208.48,293.67,6.23,189.42
10/17/05,5.03,0.61,200.86,292.96,4.15,203.41
10/23/05,1.88,0.69,246.75,290.59,3.7,205.3
10/25/05,2.18,0.73,234.12,289.29,8.53,173.27
10/26/05,3.55,0.8,219.3,288.31,6.97,198.25
10/27/05,4.65,0.86,209.09,287.55,4.74,218.23
10/28/05,5.3,0.89,202.87,286.96,3.73,228.22
11/22/05,1.51,1.08,242.84,280.14,4.9,183.79
11/23/05,2.07,1.12,233.22,278.97,3.44,202.77
11/30/05,2.25,1.26,224.9,272.73,3.57,197.65
12/26/05,1.41,1.61,235.05,255.5,3.46,210.2
1/18/06,2.57,2.06,221.26,239.23,4.27,244.81
1/19/06,2.97,2.1,227.44,238.75,3.97,215.79
2/3/06,2.65,2.43,245.58,231.3,3.62,246.53
2/4/06,2.91,2.45,241.56,230.8,4.01,208.51
2/5/06,3.14,2.49,236.55,229.97,5.47,197.5
2/6/06,3.66,2.53,229.13,229.8,4.15,209.48
2/7/06,3.95,2.55,218.31,229.94,3.44,209.46
5/13/06,1.58,1.55,238.68,239.57,7.19,176.83
5/14/06,2.88,1.59,222.66,239.26,14.7,148.81
5/15/06,5.54,1.69,205.64,238.81,12.9,176.79
5/16/06,7.62,1.77,195.83,238.45,10,188.77
5/17/06,9.26,1.83,186.41,238.11,8.15,204.76
5/18/06,10.59,1.88,179.19,237.81,6.32,230.74
5/19/06,10.41,1.9,189.97,237.7,5.92,216.72
5/20/06,8.66,1.91,203.56,237.7,4.76,222.7
5/21/06,7.03,1.93,212.74,237.82,3.7,230.69
6/4/06,1.53,1.87,251.7,238.02,4.01,210.45
6/7/06,2.43,1.82,228.45,238.45,7.55,173.4
6/8/06,3.73,1.86,211.43,238.15,9.21,168.38
6/9/06,5.02,1.91,201.81,237.92,6.82,191.36
6/10/06,5.58,1.94,198,237.91,6.32,191.34
6/11/06,6.35,1.97,191.38,237.83,5.15,205.33
6/12/06,7.01,2,185.96,237.8,3.66,219.31
6/14/06,5.01,2.02,206.93,237.88,6.05,198.27
6/15/06,4.86,2.05,208.31,237.7,7.34,174.26
6/16/06,5.06,2.09,204.89,237.29,4.85,198.24
6/24/06,1.97,2.14,226.95,235.85,3.48,201.1
11/17/06,1.86,0.53,152.84,236.58,5.2,130.59
11/24/06,1.84,0.63,164.72,232.65,4.32,132.47
3/3/07,1.75,1.27,306.85,223.56,4.27,152.76
3/23/07,2.26,1.35,229.87,229.95,4.25,196.42
4/5/07,2.21,1.41,236.65,235.52,3.84,224.2
4/15/07,2.4,1.53,239.28,237.53,3.72,229.02
