datetime,year,rainfall,runoff
1981-01-01,1981,2.0940000139749966,68.0
1981-01-02,1981,1.2854230793622823,68.0
1981-01-03,1981,0.1816923060373833,68.0
1981-01-04,1981,0.0507692308881535,68.0
1981-01-05,1981,0.0,68.0
1981-01-06,1981,0.0,68.0
1981-01-07,1981,3.162076922563406,68.0
1981-01-08,1981,0.0,68.0
1981-01-09,1981,1.6423461643549113,68.0
1981-01-10,1981,1.1231923115511353,68.0
1981-01-11,1981,0.04169230822187204,68.0
1981-01-12,1981,0.0,68.0
1981-01-13,1981,0.0,68.0
1981-01-14,1981,0.0,67.0
1981-01-15,1981,5.144961540515606,67.0
1981-01-16,1981,10.826307736910307,67.0
1981-01-17,1981,0.0,68.0
1981-01-18,1981,0.0,68.0
1981-01-19,1981,0.0,69.0
1981-01-20,1981,0.0,70.0
1981-01-21,1981,0.0,70.0
1981-01-22,1981,0.0,71.0
1981-01-23,1981,0.0,72.0
1981-01-24,1981,0.0,73.0
1981-01-25,1981,0.0,74.0
1981-01-26,1981,0.0,74.0
1981-01-27,1981,1.8683461615672479,75.0
1981-01-28,1981,3.0798846253981957,74.0
1981-01-29,1981,0.848653847638231,74.0
1981-01-30,1981,0.0,72.0
1981-01-31,1981,0.0,70.0
1981-02-01,1981,2.0041153889435988,69.0
1981-02-02,1981,3.608384600052467,68.0
1981-02-03,1981,0.4776153815193818,67.0
1981-02-04,1981,0.021999999737510316,66.0
1981-02-05,1981,0.0,65.0
1981-02-06,1981,1.9899230736952562,64.0
1981-02-07,1981,2.0185769292024465,64.0
1981-02-08,1981,5.855076954914973,64.0
1981-02-09,1981,0.0,64.0
1981-02-10,1981,0.28099999967246103,64.0
1981-02-11,1981,3.9293461671242347,64.0
1981-02-12,1981,0.0,64.0
1981-02-13,1981,0.005884615417856436,64.0
1981-02-14,1981,0.0,65.0
1981-02-15,1981,0.0,68.0
1981-02-16,1981,0.002730769248536,70.0
1981-02-17,1981,0.0,82.0
1981-02-18,1981,0.0,98.0
1981-02-19,1981,4.6333845945505,130.0
1981-02-20,1981,0.0,170.0
1981-02-21,1981,0.0,230.0
1981-02-22,1981,6.926730797840999,318.0
1981-02-23,1981,17.707115393418533,385.0
1981-02-24,1981,11.423000078934889,420.0
1981-02-25,1981,0.0,413.0
1981-02-26,1981,0.0,374.0
1981-02-27,1981,0.0,343.0
1981-02-28,1981,6.78903852059291,315.0
1981-03-01,1981,0.0,294.0
1981-03-02,1981,3.6273076901069055,279.0
1981-03-03,1981,0.0,282.0
1981-03-04,1981,3.4494615426430335,273.0
1981-03-05,1981,0.0,255.0
1981-03-06,1981,2.822923073401818,230.0
1981-03-07,1981,0.0,215.0
1981-03-08,1981,0.0,200.0
1981-03-09,1981,0.0,185.0
1981-03-10,1981,1.5827692334468548,175.0
1981-03-11,1981,0.17657692415209916,165.0
1981-03-12,1981,0.0,155.0
1981-03-13,1981,0.23742307797342968,145.0
1981-03-14,1981,0.0,140.0
1981-03-15,1981,0.3042307695947014,135.0
1981-03-16,1981,0.0,130.0
1981-03-17,1981,4.204000014525193,125.0
1981-03-18,1981,2.9460000074826755,120.0
1981-03-19,1981,1.3275769215363722,115.0
1981-03-20,1981,0.0,110.0
1981-03-21,1981,0.0,105.0
1981-03-22,1981,0.0,110.0
1981-03-23,1981,0.0,115.0
1981-03-24,1981,0.0,125.0
1981-03-25,1981,0.0,140.0
1981-03-26,1981,1.512538458292301,160.0
1981-03-27,1981,0.0,220.0
1981-03-28,1981,0.03680769112319327,342.0
1981-03-29,1981,5.809500015698946,806.0
1981-03-30,1981,14.976922988891602,1120.0
1981-03-31,1981,1.3678461359097407,1200.0
1981-04-01,1981,4.075923076042762,1410.0
1981-04-02,1981,0.0,1400.0
1981-04-03,1981,0.0840384634032559,1590.0
1981-04-04,1981,20.548538428086502,1630.0
1981-04-05,1981,2.448038454239185,1380.0
1981-04-06,1981,0.0,1210.0
1981-04-07,1981,0.0,1180.0
1981-04-08,1981,2.0369230646353502,1150.0
1981-04-09,1981,0.0,1060.0
1981-04-10,1981,4.885076962984526,1160.0
1981-04-11,1981,0.0,1400.0
1981-04-12,1981,0.0,1400.0
1981-04-13,1981,0.0,1190.0
1981-04-14,1981,5.533307699056772,1120.0
1981-04-15,1981,0.0,1030.0
1981-04-16,1981,0.0,854.0
1981-04-17,1981,0.0,720.0
1981-04-18,1981,0.0,635.0
1981-04-19,1981,1.4051538430727446,565.0
1981-04-20,1981,0.0,488.0
1981-04-21,1981,0.0,420.0
1981-04-22,1981,2.9645000329384437,374.0
1981-04-23,1981,26.17611525608943,650.0
1981-04-24,1981,7.924615346468412,878.0
1981-04-25,1981,0.0,830.0
1981-04-26,1981,1.0379999921872065,710.0
1981-04-27,1981,0.48592307633505416,590.0
1981-04-28,1981,3.3256153693565955,530.0
1981-04-29,1981,0.0,476.0
1981-04-30,1981,0.2538846146243696,424.0
1981-05-01,1981,3.744615380580609,432.0
1981-05-02,1981,0.0,388.0
1981-05-03,1981,5.0545384517082805,354.0
1981-05-04,1981,18.864999844477726,600.0
1981-05-05,1981,22.360923033494217,1200.0
1981-05-06,1981,0.0,1210.0
1981-05-07,1981,0.0,720.0
1981-05-08,1981,0.0,780.0
1981-05-09,1981,0.0,620.0
1981-05-10,1981,1.9961538314819336,492.0
1981-05-11,1981,0.0,413.0
1981-05-12,1981,0.0,357.0
1981-05-13,1981,0.0,312.0
1981-05-14,1981,0.0,273.0
1981-05-15,1981,0.0,243.0
1981-05-16,1981,0.0,212.0
1981-05-17,1981,0.0,192.0
1981-05-18,1981,0.0,175.0
1981-05-19,1981,0.0,159.0
1981-05-20,1981,0.0,147.0
1981-05-21,1981,0.0,135.0
1981-05-22,1981,0.0,126.0
1981-05-23,1981,0.0,115.0
1981-05-24,1981,6.979653853636521,110.0
1981-05-25,1981,3.449423047212454,108.0
1981-05-26,1981,2.39492306800989,121.0
1981-05-27,1981,0.0,122.0
1981-05-28,1981,0.0,119.0
1981-05-29,1981,5.046307765520536,114.0
1981-05-30,1981,2.38349999831273,108.0
1981-05-31,1981,0.0,97.0
1981-06-01,1981,1.6607307700010447,93.0
1981-06-02,1981,0.05230769192656645,93.0
1981-06-03,1981,9.432423004737267,108.0
1981-06-04,1981,2.8286922986690817,133.0
1981-06-05,1981,0.0,135.0
1981-06-06,1981,0.02296153841038736,117.0
1981-06-07,1981,0.0,107.0
1981-06-08,1981,16.142807777111347,231.0
1981-06-09,1981,0.0,258.0
1981-06-10,1981,3.8137692029659567,202.0
1981-06-11,1981,3.025846132865319,157.0
1981-06-12,1981,4.259961550052349,135.0
1981-06-13,1981,0.30092307737616536,122.0
1981-06-14,1981,52.75115350576547,225.0
1981-06-15,1981,14.648307653573843,869.0
1981-06-16,1981,0.5156153817974533,962.0
1981-06-17,1981,0.020115384809637014,860.0
1981-06-18,1981,0.06773076979264331,640.0
1981-06-19,1981,0.0,444.0
1981-06-20,1981,6.764230764829195,340.0
1981-06-21,1981,3.7930000103436985,312.0
1981-06-22,1981,9.081115484237671,322.0
1981-06-23,1981,0.8580769277535952,346.0
1981-06-24,1981,6.883999989582942,354.0
1981-06-25,1981,0.0024999999799407446,322.0
1981-06-26,1981,0.0,270.0
1981-06-27,1981,0.0,220.0
1981-06-28,1981,0.0,185.0
1981-06-29,1981,12.663269189687876,180.0
1981-06-30,1981,0.3931538448310815,167.0
1981-07-01,1981,0.0,149.0
1981-07-02,1981,0.0,130.0
1981-07-03,1981,0.0,114.0
1981-07-04,1981,10.964769235024086,105.0
1981-07-05,1981,0.0,94.0
1981-07-06,1981,0.0,90.0
1981-07-07,1981,0.0,80.0
1981-07-08,1981,0.0,70.0
1981-07-09,1981,4.791461614462046,67.0
1981-07-10,1981,0.0,62.0
1981-07-11,1981,0.0,56.0
1981-07-12,1981,0.0021538461800306463,50.0
1981-07-13,1981,0.0,45.0
1981-07-14,1981,0.0,40.0
1981-07-15,1981,1.4623461594948401,38.0
1981-07-16,1981,0.0,35.0
1981-07-17,1981,4.498115383661711,41.0
1981-07-18,1981,12.258346227499155,80.0
1981-07-19,1981,0.0,60.0
1981-07-20,1981,0.7170769308622067,70.0
1981-07-21,1981,16.564153817983772,117.0
1981-07-22,1981,0.0,103.0
1981-07-23,1981,0.0,89.0
1981-07-24,1981,0.21096153743117332,72.0
1981-07-25,1981,8.696000062502348,67.0
1981-07-26,1981,0.0,64.0
1981-07-27,1981,0.0,59.0
1981-07-28,1981,0.0,53.0
1981-07-29,1981,0.0,44.0
1981-07-30,1981,0.0,38.0
1981-07-31,1981,0.0,35.0
1981-08-01,1981,0.0,36.0
1981-08-02,1981,16.684153850261982,41.0
1981-08-03,1981,0.11557692228458248,76.0
1981-08-04,1981,13.732615397526668,190.0
1981-08-05,1981,0.0,157.0
1981-08-06,1981,0.1738076918364431,130.0
1981-08-07,1981,24.691038571871243,413.0
1981-08-08,1981,6.290038438943716,488.0
1981-08-09,1981,0.10703846260618705,460.0
1981-08-10,1981,3.6034615681721616,360.0
1981-08-11,1981,6.942807729427631,264.0
1981-08-12,1981,0.0,195.0
1981-08-13,1981,0.0,159.0
1981-08-14,1981,1.5412307718249325,135.0
1981-08-15,1981,0.0,114.0
1981-08-16,1981,0.0,99.0
1981-08-17,1981,0.0,86.0
1981-08-18,1981,0.0,73.0
1981-08-19,1981,0.0,64.0
1981-08-20,1981,0.0,56.0
1981-08-21,1981,0.0,54.0
1981-08-22,1981,0.0,46.0
1981-08-23,1981,3.003346168077909,43.0
1981-08-24,1981,0.0,39.0
1981-08-25,1981,0.0,34.0
1981-08-26,1981,0.9360769201571552,32.0
1981-08-27,1981,0.0,29.0
1981-08-28,1981,0.0,27.0
1981-08-29,1981,6.18615383368272,27.0
1981-08-30,1981,12.223538435422457,33.0
1981-08-31,1981,0.0,33.0
1981-09-01,1981,4.937461522909311,34.0
1981-09-02,1981,0.0,34.0
1981-09-03,1981,0.5813076905145024,33.0
1981-09-04,1981,0.4213846170056898,29.0
1981-09-05,1981,0.0,26.0
1981-09-06,1981,0.0,22.0
1981-09-07,1981,2.8884615347935605,27.0
1981-09-08,1981,15.127346148857704,46.0
1981-09-09,1981,0.0,50.0
1981-09-10,1981,0.0,47.0
1981-09-11,1981,2.1596153657525203,45.0
1981-09-12,1981,3.1296922839604893,49.0
1981-09-13,1981,0.0,43.0
1981-09-14,1981,0.0,37.0
1981-09-15,1981,0.0,32.0
1981-09-16,1981,2.8442307710647583,28.0
1981-09-17,1981,8.15834615780757,30.0
1981-09-18,1981,0.0,37.0
1981-09-19,1981,0.0,41.0
1981-09-20,1981,0.0,38.0
1981-09-21,1981,0.0,33.0
1981-09-22,1981,0.07799999919146873,28.0
1981-09-23,1981,0.0,26.0
1981-09-24,1981,0.0,26.0
1981-09-25,1981,2.5392692180780263,26.0
1981-09-26,1981,3.7174230997379007,28.0
1981-09-27,1981,3.4835769488261294,35.0
1981-09-28,1981,3.3976154052294216,37.0
1981-09-29,1981,0.722153849613208,38.0
1981-09-30,1981,1.8759230658806,39.0
1981-10-01,1981,39.226576805114746,181.0
1981-10-02,1981,9.65673072521503,332.0
1981-10-03,1981,0.19153846176162076,343.0
1981-10-04,1981,4.090807685485253,297.0
1981-10-05,1981,3.120499986868638,264.0
1981-10-06,1981,12.098153847914476,326.0
1981-10-07,1981,4.529653824292696,396.0
1981-10-08,1981,0.0,364.0
1981-10-09,1981,0.0,309.0
1981-10-10,1981,0.0665000002974501,246.0
1981-10-11,1981,0.0,210.0
1981-10-12,1981,0.0,185.0
1981-10-13,1981,0.0,165.0
1981-10-14,1981,12.047846133892353,210.0
1981-10-15,1981,7.484692188409658,237.0
1981-10-16,1981,0.0,212.0
1981-10-17,1981,2.8153845988787136,195.0
1981-10-18,1981,21.963730812072754,300.0
1981-10-19,1981,5.932884564766517,406.0
1981-10-20,1981,1.285730772293531,385.0
1981-10-21,1981,6.069500056596903,388.0
1981-10-22,1981,0.0,346.0
1981-10-23,1981,8.738038503206694,309.0
1981-10-24,1981,0.5531153907784476,270.0
1981-10-25,1981,0.9066538489781893,234.0
1981-10-26,1981,0.0,212.0
1981-10-27,1981,0.0,202.0
1981-10-28,1981,0.0,205.0
1981-10-29,1981,0.008576923264906956,210.0
1981-10-30,1981,0.0,218.0
1981-10-31,1981,0.0,212.0
1981-11-01,1981,0.0,195.0
1981-11-02,1981,0.0,178.0
1981-11-03,1981,0.0,161.0
1981-11-04,1981,0.0,149.0
1981-11-05,1981,0.5745769246266439,143.0
1981-11-06,1981,2.093307683101067,143.0
1981-11-07,1981,0.0,139.0
1981-11-08,1981,0.0,133.0
1981-11-09,1981,0.0,126.0
1981-11-10,1981,0.0,121.0
1981-11-11,1981,0.0,110.0
1981-11-12,1981,0.0,107.0
1981-11-13,1981,0.0,102.0
1981-11-14,1981,0.0,99.0
1981-11-15,1981,0.0,97.0
1981-11-16,1981,0.0,94.0
1981-11-17,1981,0.6900384620978282,93.0
1981-11-18,1981,0.062230769106043644,92.0
1981-11-19,1981,0.0,92.0
1981-11-20,1981,19.114999844477726,107.0
1981-11-21,1981,0.0,100.0
1981-11-22,1981,0.0,94.0
1981-11-23,1981,0.0,90.0
1981-11-24,1981,0.18534615255731085,94.0
1981-11-25,1981,0.0,93.0
1981-11-26,1981,5.106653846227205,93.0
1981-11-27,1981,3.685307686145489,97.0
1981-11-28,1981,0.25984615427800095,97.0
1981-11-29,1981,0.0,94.0
1981-11-30,1981,0.0,92.0
1981-12-01,1981,1.632923084955949,90.0
1981-12-02,1981,11.203730766589825,94.0
1981-12-03,1981,2.231846176660978,97.0
1981-12-04,1981,0.028499999853710715,97.0
1981-12-05,1981,0.0,94.0
1981-12-06,1981,0.0,86.0
1981-12-07,1981,0.0,97.0
1981-12-08,1981,4.663230758446914,93.0
1981-12-09,1981,4.35476920237908,90.0
1981-12-10,1981,0.0,88.0
1981-12-11,1981,0.0,87.0
1981-12-12,1981,0.0,87.0
1981-12-13,1981,0.041730769439779505,90.0
1981-12-14,1981,3.9325384543492246,89.0
1981-12-15,1981,2.414999998532809,89.0
1981-12-16,1981,2.185346158651205,80.0
1981-12-17,1981,2.552499995781825,72.0
1981-12-18,1981,3.7988077218715963,74.0
1981-12-19,1981,1.1088846110953734,78.0
1981-12-20,1981,0.0,80.0
1981-12-21,1981,1.8572307762045126,77.0
1981-12-22,1981,0.0,74.0
1981-12-23,1981,1.8010000105087574,72.0
1981-12-24,1981,0.22973076857698077,70.0
1981-12-25,1981,0.7362307694095832,70.0
1981-12-26,1981,0.0,70.0
1981-12-27,1981,3.46719229221344,70.0
1981-12-28,1981,0.7121538433891076,69.0
1981-12-29,1981,0.47657692661652196,68.0
1981-12-30,1981,0.0,68.0
1981-12-31,1981,6.456807668392475,68.0
1982-01-01,1982,5.626076890872075,68.0
1982-01-02,1982,0.004076923136241161,68.0
1982-01-03,1982,8.90188451913687,68.0
1982-01-04,1982,2.6036923023370595,68.0
1982-01-05,1982,1.7344230596835797,68.0
1982-01-06,1982,0.0,68.0
1982-01-07,1982,0.0,68.0
1982-01-08,1982,0.9201923127357776,68.0
1982-01-09,1982,1.6521538622462406,68.0
1982-01-10,1982,5.965230804223281,68.0
1982-01-11,1982,8.78949997975276,68.0
1982-01-12,1982,0.4601153856000075,68.0
1982-01-13,1982,0.0,68.0
1982-01-14,1982,0.0,68.0
1982-01-15,1982,0.0,67.0
