datetime,year,rainfall,runoff
1981-01-01,1981,1.126948455616846,730.0
1981-01-02,1981,6.3027061801595785,740.0
1981-01-03,1981,4.278958767345271,740.0
1981-01-04,1981,5.343479389996872,730.0
1981-01-05,1981,0.06671649510444132,720.0
1981-01-06,1981,4.830850507795196,720.0
1981-01-07,1981,0.9073298971700366,720.0
1981-01-08,1981,2.3248092833253526,720.0
1981-01-09,1981,0.015396907253517318,720.0
1981-01-10,1981,5.620283491832694,720.0
1981-01-11,1981,4.430695881548616,720.0
1981-01-12,1981,3.137340202773969,720.0
1981-01-13,1981,0.0,720.0
1981-01-14,1981,0.10701546385601048,710.0
1981-01-15,1981,2.5207268005793857,700.0
1981-01-16,1981,2.1696185561799513,700.0
1981-01-17,1981,0.0,700.0
1981-01-18,1981,0.0,700.0
1981-01-19,1981,0.0,700.0
1981-01-20,1981,0.0,700.0
1981-01-21,1981,0.0,700.0
1981-01-22,1981,0.03093298968136522,710.0
1981-01-23,1981,0.3191443293219787,710.0
1981-01-24,1981,0.0,720.0
1981-01-25,1981,0.0,730.0
1981-01-26,1981,0.0,740.0
1981-01-27,1981,2.3568144331580583,740.0
1981-01-28,1981,0.0,750.0
1981-01-29,1981,2.3479793750748192,750.0
1981-01-30,1981,1.0926855658955112,750.0
1981-01-31,1981,0.0,750.0
1981-02-01,1981,4.425865990599406,750.0
1981-02-02,1981,5.679072152707994,750.0
1981-02-03,1981,0.0,750.0
1981-02-04,1981,1.8833041289418013,750.0
1981-02-05,1981,0.0,760.0
1981-02-06,1981,0.7843608256890294,760.0
1981-02-07,1981,1.9833762787052036,760.0
1981-02-08,1981,5.574927851096871,750.0
1981-02-09,1981,0.0,750.0
1981-02-10,1981,0.23575772987870672,750.0
1981-02-11,1981,17.38207733508238,750.0
1981-02-12,1981,0.0,750.0
1981-02-13,1981,0.728144330639853,740.0
1981-02-14,1981,0.0021855670157051887,740.0
1981-02-15,1981,0.0,740.0
1981-02-16,1981,0.9391030906021509,740.0
1981-02-17,1981,0.02638144290120312,760.0
1981-02-18,1981,0.10274226816140652,800.0
1981-02-19,1981,0.0,900.0
1981-02-20,1981,0.0,1000.0
1981-02-21,1981,0.0,1100.0
1981-02-22,1981,0.0,1200.0
1981-02-23,1981,8.200938165802317,1350.0
1981-02-24,1981,1.6476030933344257,1500.0
1981-02-25,1981,0.0,1650.0
1981-02-26,1981,0.0,1700.0
1981-02-27,1981,0.0,1750.0
1981-02-28,1981,5.629819604151729,1800.0
1981-03-01,1981,0.0,1800.0
1981-03-02,1981,4.103015457846455,1800.0
1981-03-03,1981,0.0,1800.0
1981-03-04,1981,3.0154948400659967,1800.0
1981-03-05,1981,0.2638969076023264,1750.0
1981-03-06,1981,0.2138350510354077,1700.0
1981-03-07,1981,0.031164948145628514,1650.0
1981-03-08,1981,0.0,1600.0
1981-03-09,1981,0.0623969076484557,1550.0
1981-03-10,1981,0.058170102990938104,1500.0
1981-03-11,1981,0.1527216492962457,1470.0
1981-03-12,1981,0.0,1440.0
1981-03-13,1981,0.106479382062014,1400.0
1981-03-14,1981,0.0,1370.0
1981-03-15,1981,0.006278350546034341,1330.0
1981-03-16,1981,0.19823711295372126,1300.0
1981-03-17,1981,3.534438133239746,1280.0
1981-03-18,1981,3.1665309341912415,1260.0
1981-03-19,1981,2.726618557861171,1240.0
1981-03-20,1981,0.0,1200.0
1981-03-21,1981,0.0,1180.0
1981-03-22,1981,0.0,1200.0
1981-03-23,1981,0.0,1250.0
1981-03-24,1981,0.0,1350.0
1981-03-25,1981,0.0,1420.0
1981-03-26,1981,1.1452164952343176,1520.0
1981-03-27,1981,0.0,1650.0
1981-03-28,1981,0.0,1780.0
1981-03-29,1981,0.05652061879056381,1990.0
1981-03-30,1981,9.800706172726818,2370.0
1981-03-31,1981,0.5457680394714602,2860.0
1981-04-01,1981,1.7229123762280671,3350.0
1981-04-02,1981,0.0,3900.0
1981-04-03,1981,0.0,4480.0
1981-04-04,1981,19.131592804623633,5350.0
1981-04-05,1981,0.07341752584409161,6670.0
1981-04-06,1981,0.0,7620.0
1981-04-07,1981,0.0,7530.0
1981-04-08,1981,5.004948455033843,7250.0
1981-04-09,1981,3.2900154645909967,6950.0
1981-04-10,1981,0.0,6700.0
1981-04-11,1981,0.0,6400.0
1981-04-12,1981,0.0,6030.0
1981-04-13,1981,0.012293814479843857,5710.0
1981-04-14,1981,7.890092771077893,5530.0
1981-04-15,1981,0.0,5370.0
1981-04-16,1981,0.0,5240.0
1981-04-17,1981,1.0218762905281709,5110.0
1981-04-18,1981,0.0,4910.0
1981-04-19,1981,0.7315618566809865,4610.0
1981-04-20,1981,0.0,4270.0
1981-04-21,1981,0.0,3970.0
1981-04-22,1981,0.0,3640.0
1981-04-23,1981,22.002582510722053,3380.0
1981-04-24,1981,3.925706191775725,3360.0
1981-04-25,1981,0.0,3490.0
1981-04-26,1981,0.0,3540.0
1981-04-27,1981,0.08044845348622497,3520.0
1981-04-28,1981,0.905768041818201,3400.0
1981-04-29,1981,0.4262113415914559,3240.0
1981-04-30,1981,0.0,3090.0
1981-05-01,1981,0.0,2890.0
1981-05-02,1981,0.08880412356673557,2640.0
1981-05-03,1981,8.205783493125562,2440.0
1981-05-04,1981,14.795659778044396,2380.0
1981-05-05,1981,11.704726821368503,2530.0
1981-05-06,1981,0.0,2750.0
1981-05-07,1981,0.0,2880.0
1981-05-08,1981,0.0,2900.0
1981-05-09,1981,0.15361340243979021,2850.0
1981-05-10,1981,0.0,2690.0
1981-05-11,1981,0.005381443264735767,2480.0
1981-05-12,1981,0.0,2270.0
1981-05-13,1981,0.0,2090.0
1981-05-14,1981,0.0,1930.0
1981-05-15,1981,0.0,1780.0
1981-05-16,1981,0.0,1660.0
1981-05-17,1981,0.0,1550.0
1981-05-18,1981,0.0,1450.0
1981-05-19,1981,0.0,1370.0
1981-05-20,1981,0.0,1300.0
1981-05-21,1981,0.0,1240.0
1981-05-22,1981,0.002819587610969224,1180.0
1981-05-23,1981,0.0,1140.0
1981-05-24,1981,2.139819584249221,1100.0
1981-05-25,1981,0.43706701155547917,1060.0
1981-05-26,1981,0.6725721629996563,1050.0
1981-05-27,1981,0.08179381458309584,1030.0
1981-05-28,1981,0.025402061794236416,1000.0
1981-05-29,1981,1.7803505176735908,984.0
1981-05-30,1981,6.653226813090217,984.0
1981-05-31,1981,0.0,979.0
1981-06-01,1981,1.7003144318281107,987.0
1981-06-02,1981,0.0,974.0
1981-06-03,1981,18.0354896968173,975.0
1981-06-04,1981,0.469597936871932,1020.0
1981-06-05,1981,0.0,1080.0
1981-06-06,1981,2.084231959175818,1150.0
1981-06-07,1981,0.11710309227340442,1180.0
1981-06-08,1981,7.0226185444704035,1170.0
1981-06-09,1981,3.106479383467399,1170.0
1981-06-10,1981,0.6297525806075259,1230.0
1981-06-11,1981,2.961742264861913,1270.0
1981-06-12,1981,6.772618553073136,1280.0
1981-06-13,1981,0.536381442877512,1280.0
1981-06-14,1981,26.179066987381766,1360.0
1981-06-15,1981,11.898494818775925,1700.0
1981-06-16,1981,12.097603094946479,2000.0
1981-06-17,1981,5.195587624594109,2160.0
1981-06-18,1981,1.5345979359423376,2280.0
1981-06-19,1981,0.0061649483887805155,2250.0
1981-06-20,1981,0.12510824678753762,2080.0
1981-06-21,1981,1.9173247411693495,1870.0
1981-06-22,1981,0.0,1670.0
1981-06-23,1981,0.7884690712599718,1530.0
1981-06-24,1981,2.5580103096273756,1420.0
1981-06-25,1981,0.015793814395852004,1340.0
1981-06-26,1981,0.0,1260.0
1981-06-27,1981,0.0,1180.0
1981-06-28,1981,0.2226082479710854,1110.0
1981-06-29,1981,25.87204638707269,1210.0
